gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,math_grade,reading_grade,average_score,average_grade
female,group B,bachelor's degree,standard,none,72,72,74,B,B,72.66666666666667,B
female,group C,some college,standard,completed,69,90,88,C,A,82.33333333333333,A
female,group B,master's degree,standard,none,90,95,93,A,A,92.66666666666667,A
male,group A,associate's degree,free/reduced,none,47,57,44,E,D,49.333333333333336,E
male,group C,some college,standard,none,76,78,75,B,B,76.33333333333333,B
female,group B,associate's degree,standard,none,71,83,78,B,A,77.33333333333333,B
female,group B,some college,standard,completed,88,95,92,A,A,91.66666666666667,A
male,group B,some college,free/reduced,none,40,43,39,E,E,40.666666666666664,E
male,group D,high school,free/reduced,completed,64,64,67,C,C,65.0,C
female,group B,high school,free/reduced,none,38,60,50,F,C,49.333333333333336,E
male,group C,associate's degree,standard,none,58,54,52,D,D,54.666666666666664,D
male,group D,associate's degree,standard,none,40,52,43,E,D,45.0,E
female,group B,high school,standard,none,65,81,73,C,A,73.0,B
male,group A,some college,standard,completed,78,72,70,B,B,73.33333333333333,B
female,group A,master's degree,standard,none,50,53,58,D,D,53.666666666666664,D
female,group C,some high school,standard,none,69,75,78,C,B,74.0,B
male,group C,high school,standard,none,88,89,86,A,A,87.66666666666667,A
female,group B,some high school,free/reduced,none,18,32,28,F,F,26.0,F
male,group C,master's degree,free/reduced,completed,46,42,46,E,E,44.666666666666664,E
female,group C,associate's degree,free/reduced,none,54,58,61,D,D,57.666666666666664,D
male,group D,high school,standard,none,66,69,63,C,C,66.0,C
female,group B,some college,free/reduced,completed,65,75,70,C,B,70.0,B
male,group D,some college,standard,none,44,54,53,E,D,50.333333333333336,D
female,group C,some high school,standard,none,69,73,73,C,B,71.66666666666667,B
male,group D,bachelor's degree,free/reduced,completed,74,71,80,B,B,75.0,B
male,group A,master's degree,free/reduced,none,73,74,72,B,B,73.0,B
male,group B,some college,standard,none,69,54,55,C,D,59.333333333333336,D
female,group C,bachelor's degree,standard,none,67,69,75,C,C,70.33333333333333,B
male,group C,high school,standard,none,70,70,65,B,B,68.33333333333333,C
female,group D,master's degree,standard,none,62,70,75,C,B,69.0,C
female,group D,some college,standard,none,69,74,74,C,B,72.33333333333333,B
female,group B,some college,standard,none,63,65,61,C,C,63.0,C
female,group E,master's degree,free/reduced,none,56,72,65,D,B,64.33333333333333,C
male,group D,some college,standard,none,40,42,38,E,E,40.0,E
male,group E,some college,standard,none,97,87,82,A,A,88.66666666666667,A
male,group E,associate's degree,standard,completed,81,81,79,A,A,80.33333333333333,A
female,group D,associate's degree,standard,none,74,81,83,B,A,79.33333333333333,B
female,group D,some high school,free/reduced,none,50,64,59,D,C,57.666666666666664,D
female,group D,associate's degree,free/reduced,completed,75,90,88,B,A,84.33333333333333,A
male,group B,associate's degree,free/reduced,none,57,56,57,D,D,56.666666666666664,D
male,group C,associate's degree,free/reduced,none,55,61,54,D,C,56.666666666666664,D
female,group C,associate's degree,standard,none,58,73,68,D,B,66.33333333333333,C
female,group B,associate's degree,standard,none,53,58,65,D,D,58.666666666666664,D
male,group B,some college,free/reduced,completed,59,65,66,D,C,63.333333333333336,C
female,group E,associate's degree,free/reduced,none,50,56,54,D,D,53.333333333333336,D
male,group B,associate's degree,standard,none,65,54,57,C,D,58.666666666666664,D
female,group A,associate's degree,standard,completed,55,65,62,D,C,60.666666666666664,C
female,group C,high school,standard,none,66,71,76,C,B,71.0,B
female,group D,associate's degree,free/reduced,completed,57,74,76,D,B,69.0,C
male,group C,high school,standard,completed,82,84,82,A,A,82.66666666666667,A
male,group E,some college,standard,none,53,55,48,D,D,52.0,D
male,group E,associate's degree,free/reduced,completed,77,69,68,B,C,71.33333333333333,B
male,group C,some college,standard,none,53,44,42,D,E,46.333333333333336,E
male,group D,high school,standard,none,88,78,75,A,B,80.33333333333333,A
female,group C,some high school,free/reduced,completed,71,84,87,B,A,80.66666666666667,A
female,group C,high school,free/reduced,none,33,41,43,F,E,39.0,F
female,group E,associate's degree,standard,completed,82,85,86,A,A,84.33333333333333,A
male,group D,associate's degree,standard,none,52,55,49,D,D,52.0,D
male,group D,some college,standard,completed,58,59,58,D,D,58.333333333333336,D
female,group C,some high school,free/reduced,none,0,17,10,F,F,9.0,F
male,group E,bachelor's degree,free/reduced,completed,79,74,72,B,B,75.0,B
male,group A,some high school,free/reduced,none,39,39,34,F,F,37.333333333333336,F
male,group A,associate's degree,free/reduced,none,62,61,55,C,C,59.333333333333336,D
female,group C,associate's degree,standard,none,69,80,71,C,A,73.33333333333333,B
female,group D,some high school,standard,none,59,58,59,D,D,58.666666666666664,D
male,group B,some high school,standard,none,67,64,61,C,C,64.0,C
male,group D,some high school,free/reduced,none,45,37,37,E,F,39.666666666666664,F
female,group C,some college,standard,none,60,72,74,C,B,68.66666666666667,C
male,group B,associate's degree,free/reduced,none,61,58,56,C,D,58.333333333333336,D
female,group C,associate's degree,standard,none,39,64,57,F,C,53.333333333333336,D
female,group D,some college,free/reduced,completed,58,63,73,D,C,64.66666666666667,C
male,group D,some college,standard,completed,63,55,63,C,D,60.333333333333336,C
female,group A,associate's degree,free/reduced,none,41,51,48,E,D,46.666666666666664,E
male,group C,some high school,free/reduced,none,61,57,56,C,D,58.0,D
male,group C,some high school,standard,none,49,49,41,E,E,46.333333333333336,E
male,group B,associate's degree,free/reduced,none,44,41,38,E,E,41.0,E
male,group E,some high school,standard,none,30,26,22,F,F,26.0,F
male,group A,bachelor's degree,standard,completed,80,78,81,A,B,79.66666666666667,B
female,group D,some high school,standard,completed,61,74,72,C,B,69.0,C
female,group E,master's degree,standard,none,62,68,68,C,C,66.0,C
female,group B,associate's degree,standard,none,47,49,50,E,E,48.666666666666664,E
male,group B,high school,free/reduced,none,49,45,45,E,E,46.333333333333336,E
male,group A,some college,free/reduced,completed,50,47,54,D,E,50.333333333333336,D
male,group E,associate's degree,standard,none,72,64,63,B,C,66.33333333333333,C
male,group D,high school,free/reduced,none,42,39,34,E,F,38.333333333333336,F
female,group C,some college,standard,none,73,80,82,B,A,78.33333333333333,B
female,group C,some college,free/reduced,none,76,83,88,B,A,82.33333333333333,A
female,group D,associate's degree,standard,none,71,71,74,B,B,72.0,B
female,group A,some college,standard,none,58,70,67,D,B,65.0,C
female,group D,some high school,standard,none,73,86,82,B,A,80.33333333333333,A
female,group C,bachelor's degree,standard,none,65,72,74,C,B,70.33333333333333,B
male,group C,high school,free/reduced,none,27,34,36,F,F,32.333333333333336,F
male,group C,high school,standard,none,71,79,71,B,B,73.66666666666667,B
male,group C,associate's degree,free/reduced,completed,43,45,50,E,E,46.0,E
female,group B,some college,standard,none,79,86,92,B,A,85.66666666666667,A
male,group C,associate's degree,free/reduced,completed,78,81,82,B,A,80.33333333333333,A
